effect,assumption,dz,method,alpha,n_participants,trials_per_cell,power,n_sims
main,small,0.25,simulation_two_stage,0.05,220,48,0.958,2000
main,small,0.25,simulation_two_stage,0.05,230,48,0.9685,2000
main,small,0.25,simulation_two_stage,0.05,240,48,0.967,2000
main,small,0.25,simulation_two_stage,0.05,250,48,0.9775,2000
main,small,0.25,simulation_two_stage,0.05,20,64,0.1835,2000
main,small,0.25,simulation_two_stage,0.05,30,64,0.259,2000
main,small,0.25,simulation_two_stage,0.05,40,64,0.3325,2000
main,small,0.25,simulation_two_stage,0.05,50,64,0.414,2000
main,small,0.25,simulation_two_stage,0.05,60,64,0.515,2000
main,small,0.25,simulation_two_stage,0.05,70,64,0.543,2000
main,small,0.25,simulation_two_stage,0.05,80,64,0.5965,2000
main,small,0.25,simulation_two_stage,0.05,90,64,0.6535,2000
main,small,0.25,simulation_two_stage,0.05,100,64,0.694,2000
main,small,0.25,simulation_two_stage,0.05,110,64,0.7305,2000
main,small,0.25,simulation_two_stage,0.05,120,64,0.7665,2000
main,small,0.25,simulation_two_stage,0.05,130,64,0.794,2000
main,small,0.25,simulation_two_stage,0.05,140,64,0.8405,2000
main,small,0.25,simulation_two_stage,0.05,150,64,0.8545,2000
main,small,0.25,simulation_two_stage,0.05,160,64,0.8715,2000
main,small,0.25,simulation_two_stage,0.05,170,64,0.8965,2000
main,small,0.25,simulation_two_stage,0.05,180,64,0.9155,2000
main,small,0.25,simulation_two_stage,0.05,190,64,0.926,2000
main,small,0.25,simulation_two_stage,0.05,200,64,0.947,2000
main,small,0.25,simulation_two_stage,0.05,210,64,0.9525,2000
main,small,0.25,simulation_two_stage,0.05,220,64,0.9595,2000
main,small,0.25,simulation_two_stage,0.05,230,64,0.965,2000
main,small,0.25,simulation_two_stage,0.05,240,64,0.9765,2000
main,small,0.25,simulation_two_stage,0.05,20,96,0.1675,2000
main,small,0.25,simulation_two_stage,0.05,30,96,0.2605,2000
main,small,0.25,simulation_two_stage,0.05,40,96,0.33,2000
main,small,0.25,simulation_two_stage,0.05,50,96,0.42,2000
main,small,0.25,simulation_two_stage,0.05,60,96,0.475,2000
main,small,0.25,simulation_two_stage,0.05,70,96,0.562,2000
main,small,0.25,simulation_two_stage,0.05,80,96,0.586,2000
main,small,0.25,simulation_two_stage,0.05,90,96,0.659,2000
main,small,0.25,simulation_two_stage,0.05,100,96,0.724,2000
main,small,0.25,simulation_two_stage,0.05,110,96,0.7195,2000
main,small,0.25,simulation_two_stage,0.05,120,96,0.7875,2000
main,small,0.25,simulation_two_stage,0.05,130,96,0.8065,2000
main,small,0.25,simulation_two_stage,0.05,140,96,0.8365,2000
main,small,0.25,simulation_two_stage,0.05,150,96,0.863,2000
main,small,0.25,simulation_two_stage,0.05,160,96,0.869,2000
main,small,0.25,simulation_two_stage,0.05,170,96,0.8895,2000
main,small,0.25,simulation_two_stage,0.05,180,96,0.9165,2000
main,small,0.25,simulation_two_stage,0.05,190,96,0.934,2000
main,small,0.25,simulation_two_stage,0.05,200,96,0.9505,2000
main,small,0.25,simulation_two_stage,0.05,210,96,0.954,2000
main,small,0.25,simulation_two_stage,0.05,220,96,0.9615,2000
main,small,0.25,simulation_two_stage,0.05,230,96,0.97,2000
main,medium,0.4,simulation_two_stage,0.05,20,16,0.3605,2000
main,medium,0.4,simulation_two_stage,0.05,30,16,0.526,2000
main,medium,0.4,simulation_two_stage,0.05,40,16,0.646,2000
main,medium,0.4,simulation_two_stage,0.05,50,16,0.736,2000
main,medium,0.4,simulation_two_stage,0.05,60,16,0.8125,2000
main,medium,0.4,simulation_two_stage,0.05,70,16,0.871,2000
main,medium,0.4,simulation_two_stage,0.05,80,16,0.9205,2000
main,medium,0.4,simulation_two_stage,0.05,90,16,0.9485,2000
main,medium,0.4,simulation_two_stage,0.05,100,16,0.957,2000
main,medium,0.4,simulation_two_stage,0.05,110,16,0.972,2000
main,medium,0.4,simulation_two_stage,0.05,20,32,0.376,2000
main,medium,0.4,simulation_two_stage,0.05,30,32,0.5555,2000
main,medium,0.4,simulation_two_stage,0.05,40,32,0.6715,2000
main,medium,0.4,simulation_two_stage,0.05,50,32,0.773,2000
main,medium,0.4,simulation_two_stage,0.05,60,32,0.8375,2000
main,medium,0.4,simulation_two_stage,0.05,70,32,0.893,2000
main,medium,0.4,simulation_two_stage,0.05,80,32,0.933,2000
main,medium,0.4,simulation_two_stage,0.05,90,32,0.956,2000
main,medium,0.4,simulation_two_stage,0.05,100,32,0.973,2000
main,medium,0.4,simulation_two_stage,0.05,20,48,0.3815,2000
main,medium,0.4,simulation_two_stage,0.05,30,48,0.5765,2000
main,medium,0.4,simulation_two_stage,0.05,40,48,0.681,2000
main,medium,0.4,simulation_two_stage,0.05,50,48,0.791,2000
main,medium,0.4,simulation_two_stage,0.05,60,48,0.862,2000
main,medium,0.4,simulation_two_stage,0.05,70,48,0.8955,2000
main,medium,0.4,simulation_two_stage,0.05,80,48,0.941,2000
main,medium,0.4,simulation_two_stage,0.05,90,48,0.9595,2000
main,medium,0.4,simulation_two_stage,0.05,100,48,0.9775,2000
main,medium,0.4,simulation_two_stage,0.05,20,64,0.384,2000
main,medium,0.4,simulation_two_stage,0.05,30,64,0.5685,2000
main,medium,0.4,simulation_two_stage,0.05,40,64,0.688,2000
main,medium,0.4,simulation_two_stage,0.05,50,64,0.794,2000
main,medium,0.4,simulation_two_stage,0.05,60,64,0.87,2000
main,medium,0.4,simulation_two_stage,0.05,70,64,0.914,2000
main,medium,0.4,simulation_two_stage,0.05,80,64,0.9395,2000
main,medium,0.4,simulation_two_stage,0.05,90,64,0.966,2000
main,medium,0.4,simulation_two_stage,0.05,100,64,0.976,2000
main,medium,0.4,simulation_two_stage,0.05,20,96,0.423,2000
main,medium,0.4,simulation_two_stage,0.05,30,96,0.554,2000
main,medium,0.4,simulation_two_stage,0.05,40,96,0.6755,2000
main,medium,0.4,simulation_two_stage,0.05,50,96,0.7965,2000
main,medium,0.4,simulation_two_stage,0.05,60,96,0.8655,2000
main,medium,0.4,simulation_two_stage,0.05,70,96,0.9195,2000
main,medium,0.4,simulation_two_stage,0.05,80,96,0.9485,2000
main,medium,0.4,simulation_two_stage,0.05,90,96,0.9615,2000
main,medium,0.4,simulation_two_stage,0.05,100,96,0.9745,2000
int,small,0.2,simulation_two_stage,0.05,20,16,0.1335,2000
int,small,0.2,simulation_two_stage,0.05,30,16,0.1665,2000
int,small,0.2,simulation_two_stage,0.05,40,16,0.2195,2000
int,small,0.2,simulation_two_stage,0.05,50,16,0.261,2000
int,small,0.2,simulation_two_stage,0.05,60,16,0.3025,2000
int,small,0.2,simulation_two_stage,0.05,70,16,0.3565,2000
int,small,0.2,simulation_two_stage,0.05,80,16,0.3795,2000
int,small,0.2,simulation_two_stage,0.05,90,16,0.447,2000
int,small,0.2,simulation_two_stage,0.05,100,16,0.509,2000
int,small,0.2,simulation_two_stage,0.05,110,16,0.5285,2000
int,small,0.2,simulation_two_stage,0.05,120,16,0.571,2000
int,small,0.2,simulation_two_stage,0.05,130,16,0.604,2000
int,small,0.2,simulation_two_stage,0.05,140,16,0.612,2000
int,small,0.2,simulation_two_stage,0.05,150,16,0.6705,2000
int,small,0.2,simulation_two_stage,0.05,160,16,0.6865,2000
int,small,0.2,simulation_two_stage,0.05,170,16,0.719,2000
int,small,0.2,simulation_two_stage,0.05,180,16,0.7395,2000
int,small,0.2,simulation_two_stage,0.05,190,16,0.748,2000
int,small,0.2,simulation_two_stage,0.05,200,16,0.78,2000
int,small,0.2,simulation_two_stage,0.05,210,16,0.8105,2000
int,small,0.2,simulation_two_stage,0.05,220,16,0.8215,2000
int,small,0.2,simulation_two_stage,0.05,230,16,0.826,2000
int,small,0.2,simulation_two_stage,0.05,240,16,0.8515,2000
int,small,0.2,simulation_two_stage,0.05,250,16,0.8535,2000
int,small,0.2,simulation_two_stage,0.05,260,16,0.8715,2000
int,small,0.2,simulation_two_stage,0.05,270,16,0.8885,2000
int,small,0.2,simulation_two_stage,0.05,280,16,0.8885,2000
int,small,0.2,simulation_two_stage,0.05,290,16,0.907,2000
int,small,0.2,simulation_two_stage,0.05,300,16,0.923,2000
int,small,0.2,simulation_two_stage,0.05,310,16,0.9175,2000
int,small,0.2,simulation_two_stage,0.05,320,16,0.9295,2000
int,small,0.2,simulation_two_stage,0.05,330,16,0.925,2000
int,small,0.2,simulation_two_stage,0.05,340,16,0.944,2000
int,small,0.2,simulation_two_stage,0.05,350,16,0.9545,2000
int,small,0.2,simulation_two_stage,0.05,360,16,0.9625,2000
int,small,0.2,simulation_two_stage,0.05,20,32,0.1525,2000
int,small,0.2,simulation_two_stage,0.05,30,32,0.1735,2000
int,small,0.2,simulation_two_stage,0.05,40,32,0.2305,2000
int,small,0.2,simulation_two_stage,0.05,50,32,0.294,2000
int,small,0.2,simulation_two_stage,0.05,60,32,0.317,2000
int,small,0.2,simulation_two_stage,0.05,70,32,0.363,2000
int,small,0.2,simulation_two_stage,0.05,80,32,0.423,2000
int,small,0.2,simulation_two_stage,0.05,90,32,0.452,2000
int,small,0.2,simulation_two_stage,0.05,100,32,0.52,2000
int,small,0.2,simulation_two_stage,0.05,110,32,0.5325,2000
int,small,0.2,simulation_two_stage,0.05,120,32,0.575,2000
int,small,0.2,simulation_two_stage,0.05,130,32,0.622,2000
int,small,0.2,simulation_two_stage,0.05,140,32,0.6395,2000
int,small,0.2,simulation_two_stage,0.05,150,32,0.6695,2000
int,small,0.2,simulation_two_stage,0.05,160,32,0.7055,2000
int,small,0.2,simulation_two_stage,0.05,170,32,0.711,2000
int,small,0.2,simulation_two_stage,0.05,180,32,0.7535,2000
int,small,0.2,simulation_two_stage,0.05,190,32,0.7815,2000
int,small,0.2,simulation_two_stage,0.05,200,32,0.7885,2000
int,small,0.2,simulation_two_stage,0.05,210,32,0.811,2000
int,small,0.2,simulation_two_stage,0.05,220,32,0.853,2000
int,small,0.2,simulation_two_stage,0.05,230,32,0.848,2000
int,small,0.2,simulation_two_stage,0.05,240,32,0.8685,2000
int,small,0.2,simulation_two_stage,0.05,250,32,0.871,2000
int,small,0.2,simulation_two_stage,0.05,260,32,0.8785,2000
int,small,0.2,simulation_two_stage,0.05,270,32,0.8965,2000
int,small,0.2,simulation_two_stage,0.05,280,32,0.9275,2000
int,small,0.2,simulation_two_stage,0.05,290,32,0.909,2000
int,small,0.2,simulation_two_stage,0.05,300,32,0.921,2000
int,small,0.2,simulation_two_stage,0.05,310,32,0.9445,2000
int,small,0.2,simulation_two_stage,0.05,320,32,0.944,2000
int,small,0.2,simulation_two_stage,0.05,330,32,0.955,2000
int,small,0.2,simulation_two_stage,0.05,340,32,0.9535,2000
int,small,0.2,simulation_two_stage,0.05,350,32,0.96,2000
int,small,0.2,simulation_two_stage,0.05,360,32,0.9625,2000
int,small,0.2,simulation_two_stage,0.05,20,48,0.1355,2000
int,small,0.2,simulation_two_stage,0.05,30,48,0.1885,2000
int,small,0.2,simulation_two_stage,0.05,40,48,0.2265,2000
int,small,0.2,simulation_two_stage,0.05,50,48,0.287,2000
int,small,0.2,simulation_two_stage,0.05,60,48,0.346,2000
int,small,0.2,simulation_two_stage,0.05,70,48,0.3915,2000
int,small,0.2,simulation_two_stage,0.05,80,48,0.431,2000
int,small,0.2,simulation_two_stage,0.05,90,48,0.453,2000
int,small,0.2,simulation_two_stage,0.05,100,48,0.5255,2000
int,small,0.2,simulation_two_stage,0.05,110,48,0.5485,2000
int,small,0.2,simulation_two_stage,0.05,120,48,0.5995,2000
int,small,0.2,simulation_two_stage,0.05,130,48,0.59,2000
int,small,0.2,simulation_two_stage,0.05,140,48,0.6395,2000
int,small,0.2,simulation_two_stage,0.05,150,48,0.673,2000
int,small,0.2,simulation_two_stage,0.05,160,48,0.7025,2000
int,small,0.2,simulation_two_stage,0.05,170,48,0.75,2000
int,small,0.2,simulation_two_stage,0.05,180,48,0.762,2000
int,small,0.2,simulation_two_stage,0.05,190,48,0.773,2000
int,small,0.2,simulation_two_stage,0.05,200,48,0.7975,2000
int,small,0.2,simulation_two_stage,0.05,210,48,0.819,2000
int,small,0.2,simulation_two_stage,0.05,220,48,0.846,2000
int,small,0.2,simulation_two_stage,0.05,230,48,0.8475,2000
int,small,0.2,simulation_two_stage,0.05,240,48,0.8565,2000
int,small,0.2,simulation_two_stage,0.05,250,48,0.8845,2000
int,small,0.2,simulation_two_stage,0.05,260,48,0.901,2000
int,small,0.2,simulation_two_stage,0.05,270,48,0.9015,2000
int,small,0.2,simulation_two_stage,0.05,280,48,0.9105,2000
int,small,0.2,simulation_two_stage,0.05,290,48,0.93,2000
int,small,0.2,simulation_two_stage,0.05,300,48,0.9175,2000
int,small,0.2,simulation_two_stage,0.05,310,48,0.9375,2000
int,small,0.2,simulation_two_stage,0.05,320,48,0.943,2000
int,small,0.2,simulation_two_stage,0.05,330,48,0.951,2000
int,small,0.2,simulation_two_stage,0.05,340,48,0.955,2000
int,small,0.2,simulation_two_stage,0.05,350,48,0.9615,2000
int,small,0.2,simulation_two_stage,0.05,360,48,0.9655,2000
int,small,0.2,simulation_two_stage,0.05,20,64,0.1375,2000
int,small,0.2,simulation_two_stage,0.05,30,64,0.1745,2000
int,small,0.2,simulation_two_stage,0.05,40,64,0.2405,2000
int,small,0.2,simulation_two_stage,0.05,50,64,0.2695,2000
int,small,0.2,simulation_two_stage,0.05,60,64,0.333,2000
int,small,0.2,simulation_two_stage,0.05,70,64,0.38,2000
int,small,0.2,simulation_two_stage,0.05,80,64,0.441,2000
int,small,0.2,simulation_two_stage,0.05,90,64,0.4715,2000
int,small,0.2,simulation_two_stage,0.05,100,64,0.5205,2000
int,small,0.2,simulation_two_stage,0.05,110,64,0.541,2000
int,small,0.2,simulation_two_stage,0.05,120,64,0.606,2000
int,small,0.2,simulation_two_stage,0.05,130,64,0.6195,2000
int,small,0.2,simulation_two_stage,0.05,140,64,0.6625,2000
int,small,0.2,simulation_two_stage,0.05,150,64,0.6925,2000
int,small,0.2,simulation_two_stage,0.05,160,64,0.715,2000
int,small,0.2,simulation_two_stage,0.05,170,64,0.7505,2000
int,small,0.2,simulation_two_stage,0.05,180,64,0.7565,2000
int,small,0.2,simulation_two_stage,0.05,190,64,0.79,2000
int,small,0.2,simulation_two_stage,0.05,200,64,0.804,2000
int,small,0.2,simulation_two_stage,0.05,210,64,0.829,2000
int,small,0.2,simulation_two_stage,0.05,220,64,0.8365,2000
int,small,0.2,simulation_two_stage,0.05,230,64,0.8575,2000
int,small,0.2,simulation_two_stage,0.05,240,64,0.8635,2000
int,small,0.2,simulation_two_stage,0.05,250,64,0.8895,2000
int,small,0.2,simulation_two_stage,0.05,260,64,0.8885,2000
int,small,0.2,simulation_two_stage,0.05,270,64,0.8945,2000
int,small,0.2,simulation_two_stage,0.05,280,64,0.9275,2000
int,small,0.2,simulation_two_stage,0.05,290,64,0.921,2000
int,small,0.2,simulation_two_stage,0.05,300,64,0.9275,2000
int,small,0.2,simulation_two_stage,0.05,310,64,0.9415,2000
int,small,0.2,simulation_two_stage,0.05,320,64,0.9515,2000
int,small,0.2,simulation_two_stage,0.05,330,64,0.944,2000
int,small,0.2,simulation_two_stage,0.05,340,64,0.959,2000
int,small,0.2,simulation_two_stage,0.05,350,64,0.9605,2000
int,small,0.2,simulation_two_stage,0.05,360,64,0.957,2000
int,small,0.2,simulation_two_stage,0.05,20,96,0.146,2000
int,small,0.2,simulation_two_stage,0.05,30,96,0.1705,2000
int,small,0.2,simulation_two_stage,0.05,40,96,0.244,2000
int,small,0.2,simulation_two_stage,0.05,50,96,0.3015,2000
int,small,0.2,simulation_two_stage,0.05,60,96,0.344,2000
int,small,0.2,simulation_two_stage,0.05,70,96,0.3685,2000
int,small,0.2,simulation_two_stage,0.05,80,96,0.4325,2000
int,small,0.2,simulation_two_stage,0.05,90,96,0.456,2000
int,small,0.2,simulation_two_stage,0.05,100,96,0.516,2000
int,small,0.2,simulation_two_stage,0.05,110,96,0.534,2000
int,small,0.2,simulation_two_stage,0.05,120,96,0.5945,2000
int,small,0.2,simulation_two_stage,0.05,130,96,0.604,2000
int,small,0.2,simulation_two_stage,0.05,140,96,0.6465,2000
int,small,0.2,simulation_two_stage,0.05,150,96,0.677,2000
int,small,0.2,simulation_two_stage,0.05,160,96,0.7045,2000
int,small,0.2,simulation_two_stage,0.05,170,96,0.7455,2000
int,small,0.2,simulation_two_stage,0.05,180,96,0.7805,2000
int,small,0.2,simulation_two_stage,0.05,190,96,0.7875,2000
int,small,0.2,simulation_two_stage,0.05,200,96,0.798,2000
int,small,0.2,simulation_two_stage,0.05,210,96,0.812,2000
int,small,0.2,simulation_two_stage,0.05,220,96,0.8345,2000
int,small,0.2,simulation_two_stage,0.05,230,96,0.863,2000
int,small,0.2,simulation_two_stage,0.05,240,96,0.883,2000
int,small,0.2,simulation_two_stage,0.05,250,96,0.8875,2000
int,small,0.2,simulation_two_stage,0.05,260,96,0.9095,2000
int,small,0.2,simulation_two_stage,0.05,270,96,0.9075,2000
int,small,0.2,simulation_two_stage,0.05,280,96,0.9255,2000
int,small,0.2,simulation_two_stage,0.05,290,96,0.929,2000
int,small,0.2,simulation_two_stage,0.05,300,96,0.9365,2000
int,small,0.2,simulation_two_stage,0.05,310,96,0.946,2000
int,small,0.2,simulation_two_stage,0.05,320,96,0.947,2000
int,small,0.2,simulation_two_stage,0.05,330,96,0.9485,2000
int,small,0.2,simulation_two_stage,0.05,340,96,0.9565,2000
int,small,0.2,simulation_two_stage,0.05,350,96,0.959,2000
int,small,0.2,simulation_two_stage,0.05,360,96,0.966,2000
int,medium,0.3,simulation_two_stage,0.05,20,16,0.2155,2000
int,medium,0.3,simulation_two_stage,0.05,30,16,0.3265,2000
int,medium,0.3,simulation_two_stage,0.05,40,16,0.4145,2000
int,medium,0.3,simulation_two_stage,0.05,50,16,0.488,2000
int,medium,0.3,simulation_two_stage,0.05,60,16,0.579,2000
int,medium,0.3,simulation_two_stage,0.05,70,16,0.654,2000
int,medium,0.3,simulation_two_stage,0.05,80,16,0.7045,2000
int,medium,0.3,simulation_two_stage,0.05,90,16,0.756,2000
int,medium,0.3,simulation_two_stage,0.05,100,16,0.786,2000
int,medium,0.3,simulation_two_stage,0.05,110,16,0.8285,2000
int,medium,0.3,simulation_two_stage,0.05,120,16,0.8615,2000
int,medium,0.3,simulation_two_stage,0.05,130,16,0.892,2000
int,medium,0.3,simulation_two_stage,0.05,140,16,0.908,2000
int,medium,0.3,simulation_two_stage,0.05,150,16,0.937,2000
int,medium,0.3,simulation_two_stage,0.05,160,16,0.947,2000
int,medium,0.3,simulation_two_stage,0.05,170,16,0.958,2000
int,medium,0.3,simulation_two_stage,0.05,180,16,0.9575,2000
int,medium,0.3,simulation_two_stage,0.05,190,16,0.97,2000
int,medium,0.3,simulation_two_stage,0.05,20,32,0.2515,2000
int,medium,0.3,simulation_two_stage,0.05,30,32,0.3625,2000
int,medium,0.3,simulation_two_stage,0.05,40,32,0.424,2000
int,medium,0.3,simulation_two_stage,0.05,50,32,0.5415,2000
int,medium,0.3,simulation_two_stage,0.05,60,32,0.606,2000
int,medium,0.3,simulation_two_stage,0.05,70,32,0.6725,2000
int,medium,0.3,simulation_two_stage,0.05,80,32,0.739,2000
int,medium,0.3,simulation_two_stage,0.05,90,32,0.786,2000
int,medium,0.3,simulation_two_stage,0.05,100,32,0.83,2000
int,medium,0.3,simulation_two_stage,0.05,110,32,0.8705,2000
int,medium,0.3,simulation_two_stage,0.05,120,32,0.883,2000
int,medium,0.3,simulation_two_stage,0.05,130,32,0.904,2000
int,medium,0.3,simulation_two_stage,0.05,140,32,0.927,2000
int,medium,0.3,simulation_two_stage,0.05,150,32,0.943,2000
int,medium,0.3,simulation_two_stage,0.05,160,32,0.948,2000
int,medium,0.3,simulation_two_stage,0.05,170,32,0.967,2000
int,medium,0.3,simulation_two_stage,0.05,180,32,0.971,2000
int,medium,0.3,simulation_two_stage,0.05,20,48,0.2495,2000
int,medium,0.3,simulation_two_stage,0.05,30,48,0.35,2000
int,medium,0.3,simulation_two_stage,0.05,40,48,0.45,2000
int,medium,0.3,simulation_two_stage,0.05,50,48,0.547,2000
int,medium,0.3,simulation_two_stage,0.05,60,48,0.6215,2000
int,medium,0.3,simulation_two_stage,0.05,70,48,0.687,2000
int,medium,0.3,simulation_two_stage,0.05,80,48,0.7445,2000
int,medium,0.3,simulation_two_stage,0.05,90,48,0.8065,2000
int,medium,0.3,simulation_two_stage,0.05,100,48,0.8445,2000
int,medium,0.3,simulation_two_stage,0.05,110,48,0.8775,2000
int,medium,0.3,simulation_two_stage,0.05,120,48,0.8965,2000
int,medium,0.3,simulation_two_stage,0.05,130,48,0.9195,2000
int,medium,0.3,simulation_two_stage,0.05,140,48,0.94,2000
int,medium,0.3,simulation_two_stage,0.05,150,48,0.954,2000
int,medium,0.3,simulation_two_stage,0.05,160,48,0.96,2000
int,medium,0.3,simulation_two_stage,0.05,170,48,0.971,2000
int,medium,0.3,simulation_two_stage,0.05,20,64,0.2415,2000
int,medium,0.3,simulation_two_stage,0.05,30,64,0.3545,2000
int,medium,0.3,simulation_two_stage,0.05,40,64,0.4695,2000
int,medium,0.3,simulation_two_stage,0.05,50,64,0.558,2000
int,medium,0.3,simulation_two_stage,0.05,60,64,0.626,2000
int,medium,0.3,simulation_two_stage,0.05,70,64,0.702,2000
int,medium,0.3,simulation_two_stage,0.05,80,64,0.744,2000
int,medium,0.3,simulation_two_stage,0.05,90,64,0.802,2000
int,medium,0.3,simulation_two_stage,0.05,100,64,0.848,2000
int,medium,0.3,simulation_two_stage,0.05,110,64,0.879,2000
int,medium,0.3,simulation_two_stage,0.05,120,64,0.9035,2000
int,medium,0.3,simulation_two_stage,0.05,130,64,0.918,2000
int,medium,0.3,simulation_two_stage,0.05,140,64,0.9415,2000
int,medium,0.3,simulation_two_stage,0.05,150,64,0.961,2000
int,medium,0.3,simulation_two_stage,0.05,160,64,0.965,2000
int,medium,0.3,simulation_two_stage,0.05,170,64,0.9685,2000
int,medium,0.3,simulation_two_stage,0.05,180,64,0.976,2000
int,medium,0.3,simulation_two_stage,0.05,20,96,0.246,2000
int,medium,0.3,simulation_two_stage,0.05,30,96,0.353,2000
int,medium,0.3,simulation_two_stage,0.05,40,96,0.476,2000
int,medium,0.3,simulation_two_stage,0.05,50,96,0.572,2000
int,medium,0.3,simulation_two_stage,0.05,60,96,0.6285,2000
int,medium,0.3,simulation_two_stage,0.05,70,96,0.7135,2000
int,medium,0.3,simulation_two_stage,0.05,80,96,0.7585,2000
int,medium,0.3,simulation_two_stage,0.05,90,96,0.814,2000
int,medium,0.3,simulation_two_stage,0.05,100,96,0.846,2000
int,medium,0.3,simulation_two_stage,0.05,110,96,0.878,2000
int,medium,0.3,simulation_two_stage,0.05,120,96,0.905,2000
int,medium,0.3,simulation_two_stage,0.05,130,96,0.9235,2000
int,medium,0.3,simulation_two_stage,0.05,140,96,0.949,2000
int,medium,0.3,simulation_two_stage,0.05,150,96,0.963,2000
int,medium,0.3,simulation_two_stage,0.05,160,96,0.9695,2000
int,medium,0.3,simulation_two_stage,0.05,170,96,0.98,2000
